Date,Open,High,Low,Close,Adj Close,Volume
2023-07-07,0.279656,0.285217,0.277954,0.284525,0.284525,208453044
2023-07-08,0.284519,0.292205,0.282672,0.290651,0.290651,207964892
2023-07-09,0.290644,0.291508,0.283767,0.284591,0.284591,182219306
2023-07-10,0.284598,0.292586,0.279614,0.287991,0.287991,257987869
2023-07-11,0.288000,0.293724,0.288000,0.292818,0.292818,198400377
2023-07-12,0.292820,0.294845,0.285902,0.288758,0.288758,174629627
2023-07-13,0.288780,0.358470,0.286445,0.357658,0.357658,1078757677
2023-07-14,0.357485,0.374710,0.319342,0.328801,0.328801,852132416
2023-07-15,0.328780,0.337371,0.325553,0.326365,0.326365,265031790
2023-07-16,0.326367,0.327444,0.313647,0.314884,0.314884,298667636
2023-07-17,0.314893,0.319466,0.306627,0.312489,0.312489,273592230
2023-07-18,0.312440,0.313590,0.302435,0.307399,0.307399,287022077
2023-07-19,0.307702,0.325842,0.307409,0.323513,0.323513,451977716
2023-07-20,0.323460,0.331560,0.311345,0.316093,0.316093,412101582
2023-07-21,0.316045,0.318063,0.311068,0.313292,0.313292,207721960
2023-07-22,0.313316,0.314810,0.307356,0.309772,0.309772,179065530
2023-07-23,0.309841,0.318527,0.308378,0.317163,0.317163,168560213
2023-07-24,0.317160,0.318596,0.301431,0.305309,0.305309,245375061
2023-07-25,0.305307,0.307343,0.302331,0.304017,0.304017,177902317
2023-07-26,0.304005,0.310300,0.300885,0.306641,0.306641,211751643
2023-07-27,0.306601,0.313025,0.305986,0.307525,0.307525,168357194
2023-07-28,0.307519,0.312696,0.306745,0.310201,0.310201,146065281
2023-07-29,0.310197,0.314248,0.309265,0.312765,0.312765,150822871
2023-07-30,0.312757,0.317806,0.307379,0.315633,0.315633,184419569
2023-07-31,0.315582,0.317720,0.306895,0.307488,0.307488,193109898
2023-08-01,0.307485,0.309951,0.299127,0.309951,0.309951,255356878
2023-08-02,0.309998,0.311268,0.299013,0.299389,0.299389,225428320
2023-08-03,0.299393,0.301024,0.290919,0.292576,0.292576,308202642
2023-08-04,0.292519,0.296881,0.290899,0.293388,0.293388,209059217
2023-08-05,0.293388,0.293665,0.290466,0.293629,0.293629,171376888
2023-08-06,0.293634,0.295314,0.290798,0.292082,0.292082,162499505
2023-08-07,0.292080,0.295184,0.284406,0.290296,0.290296,261829458
2023-08-08,0.290309,0.302092,0.289615,0.297745,0.297745,325442761
2023-08-09,0.297773,0.301882,0.296489,0.301140,0.301140,237656101
2023-08-10,0.301158,0.301333,0.296091,0.296130,0.296130,193645057
2023-08-11,0.296147,0.297167,0.292524,0.293450,0.293450,134863796
2023-08-12,0.293448,0.294329,0.291076,0.291837,0.291837,116090863
2023-08-13,0.291834,0.293197,0.287777,0.289531,0.289531,138807073
2023-08-14,0.289529,0.292074,0.287816,0.290611,0.290611,136047668
2023-08-15,0.290616,0.290645,0.278045,0.281817,0.281817,188931464
2023-08-16,0.281817,0.282607,0.267650,0.274532,0.274532,246639932
2023-08-17,0.274525,0.277856,0.245795,0.255958,0.255958,352479738
2023-08-18,0.255983,0.266778,0.255605,0.263892,0.263892,268892871
2023-08-19,0.263899,0.269439,0.261020,0.268378,0.268378,144989107
2023-08-20,0.268386,0.272545,0.265382,0.270709,0.270709,147916643
2023-08-21,0.270704,0.271884,0.261647,0.263179,0.263179,182615915
2023-08-22,0.263146,0.263280,0.252303,0.258366,0.258366,212444186
2023-08-23,0.258371,0.269284,0.258249,0.267965,0.267965,193068301
2023-08-24,0.267973,0.271021,0.262559,0.265884,0.265884,166177312
